配置,模型,指标,均值
仅关闭历史路径强化,三个 GP 表达式均值,2-opt 平均改进（百分点）,6.403574667562679
仅关闭历史路径强化,三个 GP 表达式均值,同一路径经 2-opt 后的边保留率,0.9515324274218752
仅关闭历史路径强化,三个 GP 表达式均值,每百轮改进全局最优的次数,0.9400833333333333
仅关闭历史路径强化,三个 GP 表达式均值,信息素下界触发比例,0.8480133954166665
仅关闭历史路径强化,三个 GP 表达式均值,每百轮重启次数,0.126125
仅关闭历史路径强化,三个 GP 表达式均值,每轮硬上界裁剪次数,0.0
仅关闭信息素下界保护,不使用 GP,实际强化路径的平均 gap（%）,1.2160884401366665
仅关闭信息素下界保护,不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,0.0544081959474535
仅关闭信息素下界保护,不使用 GP,强化路径年龄（轮）,294.80041374999996
仅关闭信息素下界保护,不使用 GP,用于历史来源的预算比例,0.7171274999999999
仅关闭信息素下界保护,不使用 GP,构造路径平均 gap（%）,8.026809206830645
仅关闭信息素下界保护,不使用 GP,2-opt 后路径平均 gap（%）,1.9330464150981845
仅关闭信息素下界保护,不使用 GP,构造路径最优 gap（%）,5.4020831042742685
仅关闭信息素下界保护,不使用 GP,2-opt 后本轮最优 gap（%）,1.2704966360841203
仅关闭信息素下界保护,不使用 GP,构造路径较优七条平均 gap（%）,6.199954195316021
仅关闭信息素下界保护,不使用 GP,2-opt 后较优七条平均 gap（%）,1.471054068625995
仅关闭信息素下界保护,不使用 GP,同轮同来源内更新树输出的标准差,0.0
仅关闭信息素下界保护,不使用 GP,更新树输出饱和比例,0.0
仅关闭信息素下界保护,不使用 GP,2-opt 平均改进（百分点）,6.09376330836992
仅关闭信息素下界保护,不使用 GP,同一路径经 2-opt 后的边保留率,0.941865097109375
仅关闭信息素下界保护,不使用 GP,每百轮改进全局最优的次数,0.98175
仅关闭信息素下界保护,不使用 GP,信息素下界触发比例,0.0
仅关闭信息素下界保护,不使用 GP,每百轮重启次数,0.15975
仅关闭信息素下界保护,不使用 GP,每轮硬上界裁剪次数,0.0
仅关闭信息素下界保护,第一个 GP 表达式,实际强化路径的平均 gap（%）,0.9867684292879999
仅关闭信息素下界保护,第一个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,0.026658362582726462
仅关闭信息素下界保护,第一个 GP 表达式,强化路径年龄（轮）,274.62680874999995
仅关闭信息素下界保护,第一个 GP 表达式,用于历史来源的预算比例,0.7144537499999999
仅关闭信息素下界保护,第一个 GP 表达式,构造路径平均 gap（%）,6.002428796458393
仅关闭信息素下界保护,第一个 GP 表达式,2-opt 后路径平均 gap（%）,1.4955474944454767
仅关闭信息素下界保护,第一个 GP 表达式,构造路径最优 gap（%）,3.913915301542278
仅关闭信息素下界保护,第一个 GP 表达式,2-opt 后本轮最优 gap（%）,1.0134267918707265
仅关闭信息素下界保护,第一个 GP 表达式,构造路径较优七条平均 gap（%）,4.49463029496326
仅关闭信息素下界保护,第一个 GP 表达式,2-opt 后较优七条平均 gap（%）,1.1499209039151317
仅关闭信息素下界保护,第一个 GP 表达式,同轮同来源内更新树输出的标准差,0.1452469898956013
仅关闭信息素下界保护,第一个 GP 表达式,更新树输出饱和比例,0.3222253975
仅关闭信息素下界保护,第一个 GP 表达式,2-opt 平均改进（百分点）,4.506881210932512
仅关闭信息素下界保护,第一个 GP 表达式,同一路径经 2-opt 后的边保留率,0.9589542915625
仅关闭信息素下界保护,第一个 GP 表达式,每百轮改进全局最优的次数,0.943375
仅关闭信息素下界保护,第一个 GP 表达式,信息素下界触发比例,0.0
仅关闭信息素下界保护,第一个 GP 表达式,每百轮重启次数,0.163375
仅关闭信息素下界保护,第一个 GP 表达式,每轮硬上界裁剪次数,0.0
仅关闭信息素下界保护,第二个 GP 表达式,实际强化路径的平均 gap（%）,0.8894524384870535
仅关闭信息素下界保护,第二个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,0.019111234264018086
仅关闭信息素下界保护,第二个 GP 表达式,强化路径年龄（轮）,270.91616625
仅关闭信息素下界保护,第二个 GP 表达式,用于历史来源的预算比例,0.71176
仅关闭信息素下界保护,第二个 GP 表达式,构造路径平均 gap（%）,4.806786488306208
