replicate,champion,instance,state_owner,snapshot_iteration,source,phase,deposit_l1_over_budget,source_edge_tau_l1_over_two_budget,global_tau_relative_l1
0,81001,1,不使用 GP 产生的状态,1,本轮最优路径,重启和可选上界处理后,0.25146969598202706,0.2514697661426839,0.00020467796122570627
0,81001,2,不使用 GP 产生的状态,1,本轮最优路径,更新前,0.24696102417842036,0.0,0.0
0,81001,2,不使用 GP 产生的状态,1,本轮最优路径,蒸发和下界保护后,0.24696102417842036,0.0,0.0
0,81001,2,不使用 GP 产生的状态,1,本轮最优路径,沉积后,0.24696102417842036,0.2469611670877267,0.000198525947478767
0,81001,2,不使用 GP 产生的状态,1,本轮最优路径,重启和可选上界处理后,0.24696102417842036,0.2469611670877267,0.000198525947478767
0,81001,3,不使用 GP 产生的状态,1,本轮最优路径,更新前,0.23565709577226177,0.0,0.0
0,81001,3,不使用 GP 产生的状态,1,本轮最优路径,蒸发和下界保护后,0.23565709577226177,0.0,0.0
0,81001,3,不使用 GP 产生的状态,1,本轮最优路径,沉积后,0.23565709577226177,0.23565722457691649,0.00019223800964588233
0,81001,3,不使用 GP 产生的状态,1,本轮最优路径,重启和可选上界处理后,0.23565709577226177,0.23565722457691649,0.00019223800964588233
0,81001,4,不使用 GP 产生的状态,1,本轮最优路径,更新前,0.26039061089147925,0.0,0.0
0,81001,4,不使用 GP 产生的状态,1,本轮最优路径,蒸发和下界保护后,0.26039061089147925,0.0,0.0
0,81001,4,不使用 GP 产生的状态,1,本轮最优路径,沉积后,0.26039061089147925,0.2603905002518002,0.00020610608778579112
0,81001,4,不使用 GP 产生的状态,1,本轮最优路径,重启和可选上界处理后,0.26039061089147925,0.2603905002518002,0.00020610608778579112
0,81001,5,不使用 GP 产生的状态,1,本轮最优路径,更新前,0.2382210939708594,0.0,0.0
0,81001,5,不使用 GP 产生的状态,1,本轮最优路径,蒸发和下界保护后,0.2382210939708594,0.0,0.0
0,81001,5,不使用 GP 产生的状态,1,本轮最优路径,沉积后,0.2382210939708594,0.23822108968963313,0.00018656126983077157
0,81001,5,不使用 GP 产生的状态,1,本轮最优路径,重启和可选上界处理后,0.2382210939708594,0.23822108968963313,0.00018656126983077157
0,81001,6,不使用 GP 产生的状态,1,本轮最优路径,更新前,0.24609833090149189,0.0,0.0
0,81001,6,不使用 GP 产生的状态,1,本轮最优路径,蒸发和下界保护后,0.24609833090149189,0.0,0.0
0,81001,6,不使用 GP 产生的状态,1,本轮最优路径,沉积后,0.24609833090149189,0.2460983464734426,0.00019662295810800724
0,81001,6,不使用 GP 产生的状态,1,本轮最优路径,重启和可选上界处理后,0.24609833090149189,0.2460983464734426,0.00019662295810800724
