state_owner,snapshot_iteration,historical_source,update_rule,instance,affected_probability_tv,unaffected_probability_tv
不使用 GP 产生的状态,100,历史全局最优路径,GP 源内重加权,6,0.030780262896251364,0.0001695864857657946
不使用 GP 产生的状态,100,历史全局最优路径,GP 源内重加权,7,0.05693129664468669,0.00015798984504235573
不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,0,0.09996179937954164,1.146576675072051e-09
不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,1,0.08938915295836782,2.875087365291876e-09
不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,2,0.126094686806549,5.170530818446376e-10
不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,3,0.042436594847400116,4.704148653309622e-10
不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,4,0.08026283898006951,8.170170341304464e-10
不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,5,0.09211991382387956,6.849812619920247e-10
不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,6,0.04389600541160801,0.0
不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,7,0.06368392378674449,0.0
不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,0,0.07503353962863336,0.00017721899827897244
不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,1,0.07538249000996397,0.0003318980264632542
不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,2,0.09679686829859666,0.0003058626817358896
不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,3,0.036078983625212224,0.0005085737245503289
不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,4,0.05747960807192828,7.834421664437245e-05
不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,5,0.07343123331175275,0.00029672702133247273
不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,6,0.030780262896251364,0.0001695864857657946
不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,7,0.05693129664468669,0.00015798984504235573
不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,0,0.09996179937954164,1.146576675072051e-09
不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,1,0.08938915295836782,2.875087365291876e-09
不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,2,0.126094686806549,5.170530818446376e-10
不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,3,0.042436594847400116,4.704148653309622e-10
不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,4,0.08026283898006951,8.170170341304464e-10
不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,5,0.09211991382387956,6.849812619920247e-10
不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,6,0.04389600541160801,0.0
不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,7,0.06368392378674449,0.0
不使用 GP 产生的状态,250,历史全局最优路径,GP 源内重加权,0,nan,9.104641096387275e-10
不使用 GP 产生的状态,250,历史全局最优路径,GP 源内重加权,1,nan,3.762712563311174e-09
不使用 GP 产生的状态,250,历史全局最优路径,GP 源内重加权,2,nan,1.0196308528978577e-09
不使用 GP 产生的状态,250,历史全局最优路径,GP 源内重加权,3,nan,1.4223115198493323e-08
不使用 GP 产生的状态,250,历史全局最优路径,GP 源内重加权,4,nan,1.068760928276767e-06
不使用 GP 产生的状态,250,历史全局最优路径,GP 源内重加权,5,nan,5.323054494091652e-09
不使用 GP 产生的状态,250,历史全局最优路径,GP 源内重加权,6,nan,1.8339942761560473e-08
