state_owner,snapshot_iteration,continuation_iterations,metric,mean,point_low,point_high,instances
不使用 GP 产生的状态,2500,500,仅信息素更新树的增益（百分点）,0.003024607078442074,-0.0055012960128691946,0.013456818150967616,8
各 GP 表达式自身产生的状态,1,1,原生来源下 GP 增益（百分点）,0.05355537126479873,-0.006087317378908332,0.10651383244224852,8
各 GP 表达式自身产生的状态,1,1,仅本轮最优来源下 GP 增益（百分点）,0.05355537126479873,-0.006227474656354381,0.10800955004043854,8
各 GP 表达式自身产生的状态,1,1,移除历史来源后 GP 增益变化（百分点）,0.0,0.0,0.0,8
各 GP 表达式自身产生的状态,1,1,仅构造决策树的增益（百分点）,0.05355537126479873,-0.006550213927289967,0.10603206070784156,8
各 GP 表达式自身产生的状态,1,1,仅信息素更新树的增益（百分点）,0.0,0.0,0.0,8
各 GP 表达式自身产生的状态,1,25,原生来源下 GP 增益（百分点）,0.49618260696009475,0.3849062459209208,0.6296049789498167,8
各 GP 表达式自身产生的状态,1,25,仅本轮最优来源下 GP 增益（百分点）,0.4966451947926559,0.40996641046418014,0.5841717787551023,8
各 GP 表达式自身产生的状态,1,25,移除历史来源后 GP 增益变化（百分点）,0.0004625878325611732,-0.07739840669233888,0.07560233647236779,8
各 GP 表达式自身产生的状态,1,25,仅构造决策树的增益（百分点）,0.16885323740945596,0.12828497864485552,0.20886418534229764,8
各 GP 表达式自身产生的状态,1,25,仅信息素更新树的增益（百分点）,0.26952219914022946,0.11731407221072612,0.4250670411525758,8
各 GP 表达式自身产生的状态,1,100,原生来源下 GP 增益（百分点）,1.161378078592222,1.0053661935728269,1.2866036688943352,8
各 GP 表达式自身产生的状态,1,100,仅本轮最优来源下 GP 增益（百分点）,1.3773443640844214,1.1484304805952585,1.5820017724825939,8
各 GP 表达式自身产生的状态,1,100,移除历史来源后 GP 增益变化（百分点）,0.21596628549219915,0.016818541695670042,0.3918538274294469,8
各 GP 表达式自身产生的状态,1,100,仅构造决策树的增益（百分点）,0.3227024962059893,0.2640341877094974,0.383136770153725,8
各 GP 表达式自身产生的状态,1,100,仅信息素更新树的增益（百分点）,0.9895629053215461,0.8278468248751293,1.1353670931887905,8
各 GP 表达式自身产生的状态,1,500,原生来源下 GP 增益（百分点）,0.03746210760474501,-0.019103487881618388,0.08758124097364234,8
各 GP 表达式自身产生的状态,1,500,仅本轮最优来源下 GP 增益（百分点）,1.1146996220032186,0.6029278516338613,1.5933836293556283,8
各 GP 表达式自身产生的状态,1,500,移除历史来源后 GP 增益变化（百分点）,1.0772375143984736,0.5504801718309258,1.559723180600465,8
各 GP 表达式自身产生的状态,1,500,仅构造决策树的增益（百分点）,-0.02313987733298908,-0.0435621774657209,-0.006109537235550989,8
各 GP 表达式自身产生的状态,1,500,仅信息素更新树的增益（百分点）,0.049871943260274,0.005529015644398536,0.09513357759823958,8
各 GP 表达式自身产生的状态,100,1,原生来源下 GP 增益（百分点）,0.0011733129827569875,-0.001053423370535785,0.003696868434416747,8
各 GP 表达式自身产生的状态,100,1,仅本轮最优来源下 GP 增益（百分点）,0.0011733129827569875,-0.0010170102854018058,0.0037754520221188067,8
各 GP 表达式自身产生的状态,100,1,移除历史来源后 GP 增益变化（百分点）,0.0,0.0,0.0,8
各 GP 表达式自身产生的状态,100,1,仅构造决策树的增益（百分点）,0.0011733129827569875,-0.0010734268216582713,0.003674013421682468,8
各 GP 表达式自身产生的状态,100,1,仅信息素更新树的增益（百分点）,0.0,0.0,0.0,8
各 GP 表达式自身产生的状态,100,25,原生来源下 GP 增益（百分点）,0.041243289259402294,-0.002721174711706495,0.10451086861620329,8
各 GP 表达式自身产生的状态,100,25,仅本轮最优来源下 GP 增益（百分点）,0.10514037751554615,0.02387119149293756,0.19931448496625337,8
各 GP 表达式自身产生的状态,100,25,移除历史来源后 GP 增益变化（百分点）,0.06389708825614386,-0.025497399022069857,0.16445004142029218,8
各 GP 表达式自身产生的状态,100,25,仅构造决策树的增益（百分点）,-0.0003054490102753918,-0.017001510175615908,0.018209450537225114,8
各 GP 表达式自身产生的状态,100,25,仅信息素更新树的增益（百分点）,0.0418701628888663,0.00490874879019409,0.09355639251939185,8
各 GP 表达式自身产生的状态,100,100,原生来源下 GP 增益（百分点）,0.007881606069065628,-0.03469409169688633,0.06737016471136101,8
各 GP 表达式自身产生的状态,100,100,仅本轮最优来源下 GP 增益（百分点）,0.22628975547987268,0.08761962517623416,0.3815310152425407,8
各 GP 表达式自身产生的状态,100,100,移除历史来源后 GP 增益变化（百分点）,0.21840814941080705,0.09214987985770941,0.36483494602766575,8
各 GP 表达式自身产生的状态,100,100,仅构造决策树的增益（百分点）,-0.017804322973178726,-0.028759274570883925,-0.008128037750565358,8
各 GP 表达式自身产生的状态,100,100,仅信息素更新树的增益（百分点）,0.027732030490607015,-0.01037509323431946,0.08184904182460782,8
各 GP 表达式自身产生的状态,100,500,原生来源下 GP 增益（百分点）,-0.02715164689524257,-0.05871313069577493,0.002242848975989649,8
