state_owner,snapshot_iteration,source,phase,metric,mean,point_low,point_high,instances
GP 表达式自身产生的状态,500,本轮最优路径,更新前,source_edge_tau_l1_over_two_budget,0.0,0.0,0.0,8
GP 表达式自身产生的状态,500,本轮最优路径,更新前,global_tau_relative_l1,0.0,0.0,0.0,8
GP 表达式自身产生的状态,500,本轮最优路径,沉积后,deposit_l1_over_budget,0.0018670287913097557,0.001514556126677238,0.0023244529240718692,8
GP 表达式自身产生的状态,500,本轮最优路径,沉积后,source_edge_tau_l1_over_two_budget,0.001867019850042445,0.0015194352839968265,0.0023338274357693825,8
GP 表达式自身产生的状态,500,本轮最优路径,沉积后,global_tau_relative_l1,1.6420431305824513e-06,1.3485493776333949e-06,2.023202542182658e-06,8
GP 表达式自身产生的状态,500,本轮最优路径,蒸发和下界保护后,deposit_l1_over_budget,0.0018670287913097557,0.0015159173771658097,0.002322608366710405,8
GP 表达式自身产生的状态,500,本轮最优路径,蒸发和下界保护后,source_edge_tau_l1_over_two_budget,0.0,0.0,0.0,8
GP 表达式自身产生的状态,500,本轮最优路径,蒸发和下界保护后,global_tau_relative_l1,0.0,0.0,0.0,8
GP 表达式自身产生的状态,500,本轮最优路径,重启和可选上界处理后,deposit_l1_over_budget,0.0018670287913097557,0.0015217182285363927,0.0023198028790935576,8
GP 表达式自身产生的状态,500,本轮最优路径,重启和可选上界处理后,source_edge_tau_l1_over_two_budget,0.0014840173016523216,0.0011402464189716125,0.0019065694767781262,8
GP 表达式自身产生的状态,500,本轮最优路径,重启和可选上界处理后,global_tau_relative_l1,1.3019911110722443e-06,1.006010297306393e-06,1.6534900307091914e-06,8
GP 表达式自身产生的状态,1000,历史全局最优路径,更新前,deposit_l1_over_budget,0.022499549101209347,0.01336366002247454,0.032078777332466626,8
GP 表达式自身产生的状态,1000,历史全局最优路径,更新前,source_edge_tau_l1_over_two_budget,0.0,0.0,0.0,8
GP 表达式自身产生的状态,1000,历史全局最优路径,更新前,global_tau_relative_l1,0.0,0.0,0.0,8
GP 表达式自身产生的状态,1000,历史全局最优路径,沉积后,deposit_l1_over_budget,0.022499549101209347,0.013694252040356968,0.03191416474244612,8
GP 表达式自身产生的状态,1000,历史全局最优路径,沉积后,source_edge_tau_l1_over_two_budget,0.02249955510648468,0.01357849549686834,0.032081938887099606,8
GP 表达式自身产生的状态,1000,历史全局最优路径,沉积后,global_tau_relative_l1,1.862673127531255e-05,1.1328332768937094e-05,2.6465337979296735e-05,8
GP 表达式自身产生的状态,1000,历史全局最优路径,蒸发和下界保护后,deposit_l1_over_budget,0.022499549101209347,0.013584663711960196,0.03223019564222615,8
GP 表达式自身产生的状态,1000,历史全局最优路径,蒸发和下界保护后,source_edge_tau_l1_over_two_budget,0.0,0.0,0.0,8
GP 表达式自身产生的状态,1000,历史全局最优路径,蒸发和下界保护后,global_tau_relative_l1,0.0,0.0,0.0,8
GP 表达式自身产生的状态,1000,历史全局最优路径,重启和可选上界处理后,deposit_l1_over_budget,0.022499549101209347,0.013433852901023256,0.03205525132535122,8
GP 表达式自身产生的状态,1000,历史全局最优路径,重启和可选上界处理后,source_edge_tau_l1_over_two_budget,0.02234964504603946,0.013344262483829838,0.03183860778326959,8
GP 表达式自身产生的状态,1000,历史全局最优路径,重启和可选上界处理后,global_tau_relative_l1,1.8501677139601645e-05,1.1076233954938859e-05,2.6439353296466547e-05,8
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,更新前,deposit_l1_over_budget,0.004847091479615032,0.0028920564979476324,0.007469855313331082,8
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,更新前,source_edge_tau_l1_over_two_budget,0.0,0.0,0.0,8
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,更新前,global_tau_relative_l1,0.0,0.0,0.0,8
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,沉积后,deposit_l1_over_budget,0.004847091479615032,0.002913410766741099,0.007344307928106177,8
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,沉积后,source_edge_tau_l1_over_two_budget,0.004847091937265742,0.0029176787541815847,0.007288991525455071,8
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,沉积后,global_tau_relative_l1,4.008480460615157e-06,2.439506051457138e-06,6.022662157701507e-06,8
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,蒸发和下界保护后,deposit_l1_over_budget,0.004847091479615032,0.002929492425772545,0.007381769522502189,8
