cohort,variant,condition,mode,model,instance_hash,replicate,gap,auc
P1,mmas,C111,legacy,baseline,f91d3c38ec580efe592856f90345354ac4f77f72fb5ee2ea52486fe67e2902df,2,6.661338147750939e-14,0.14917550906985724
P1,mmas,C111,legacy,baseline,f91d3c38ec580efe592856f90345354ac4f77f72fb5ee2ea52486fe67e2902df,3,0.0873341397418459,0.19278477358561985
P1,mmas,C111,legacy,baseline,f91d3c38ec580efe592856f90345354ac4f77f72fb5ee2ea52486fe67e2902df,4,0.05603568907774914,0.2768262828842616
P1,mmas,C111,legacy,baseline,6d5609a8070b9192f92f6fb05de0d115f6c25916af563eb68d8a69b386cfd150,0,0.36183341519622214,0.46739257214727115
P1,mmas,C111,legacy,baseline,6d5609a8070b9192f92f6fb05de0d115f6c25916af563eb68d8a69b386cfd150,1,0.36183341519622214,0.5211083578167737
P1,mmas,C111,legacy,baseline,6d5609a8070b9192f92f6fb05de0d115f6c25916af563eb68d8a69b386cfd150,2,0.06859347596759324,0.23625913211076682
P1,mmas,C111,legacy,baseline,6d5609a8070b9192f92f6fb05de0d115f6c25916af563eb68d8a69b386cfd150,3,0.27065536262256273,0.38950111241744056
P1,mmas,C111,legacy,baseline,6d5609a8070b9192f92f6fb05de0d115f6c25916af563eb68d8a69b386cfd150,4,0.03505997062225319,0.4048997881350691
P1,mmas,C111,legacy,baseline,946e69fb661c85e32df01b954eb38f093fe30e4527c3e88af7205f3c2fff4cf8,0,0.22739833612797078,0.4792077228767147
P1,mmas,C111,legacy,baseline,946e69fb661c85e32df01b954eb38f093fe30e4527c3e88af7205f3c2fff4cf8,1,0.058091597670562045,0.4022248129522678
P1,mmas,C111,legacy,baseline,946e69fb661c85e32df01b954eb38f093fe30e4527c3e88af7205f3c2fff4cf8,2,0.37224800803661307,0.488666784168348
P1,mmas,C111,legacy,baseline,946e69fb661c85e32df01b954eb38f093fe30e4527c3e88af7205f3c2fff4cf8,3,0.12291799169776851,0.36807516708082355
P1,mmas,C111,legacy,baseline,946e69fb661c85e32df01b954eb38f093fe30e4527c3e88af7205f3c2fff4cf8,4,0.31741616849070287,0.6195544321779227
P1,mmas,C111,legacy,baseline,144b72cc6d962d624b79e5186ec5f20105ecf95dc400d22c34daa9e8c925c7c4,0,0.23799081702411407,0.3421053501541697
P1,mmas,C111,legacy,baseline,144b72cc6d962d624b79e5186ec5f20105ecf95dc400d22c34daa9e8c925c7c4,1,0.14854197640277178,0.32342241420331513
P1,mmas,C111,legacy,baseline,144b72cc6d962d624b79e5186ec5f20105ecf95dc400d22c34daa9e8c925c7c4,2,0.019376232992085463,0.2882672978840329
P1,mmas,C111,legacy,baseline,144b72cc6d962d624b79e5186ec5f20105ecf95dc400d22c34daa9e8c925c7c4,3,0.07304909678169658,0.23226816718005147
P1,mmas,C111,legacy,baseline,144b72cc6d962d624b79e5186ec5f20105ecf95dc400d22c34daa9e8c925c7c4,4,0.3319391889520462,0.46458865798843746
P1,mmas,C111,legacy,baseline,042a4cb0e0747ecd79bbcf8959d1d2f82ae1118dc8df7b3c85c921d7481a3a93,0,-2.220446049250313e-14,0.19441971585277598
P1,mmas,C111,legacy,baseline,042a4cb0e0747ecd79bbcf8959d1d2f82ae1118dc8df7b3c85c921d7481a3a93,1,0.12276244689990445,0.23510621526087888
P1,mmas,C111,legacy,baseline,042a4cb0e0747ecd79bbcf8959d1d2f82ae1118dc8df7b3c85c921d7481a3a93,2,0.03313425944895254,0.2375372529780544
P1,mmas,C111,legacy,baseline,042a4cb0e0747ecd79bbcf8959d1d2f82ae1118dc8df7b3c85c921d7481a3a93,3,0.02917141753471242,0.13038496350717008
P1,mmas,C111,legacy,baseline,042a4cb0e0747ecd79bbcf8959d1d2f82ae1118dc8df7b3c85c921d7481a3a93,4,-2.220446049250313e-14,0.21146332907272866
P1,mmas,C111,legacy,baseline,b0bf841909ebcaf44638c9ec8019ac27b02f99f0f75698e9b5094622b47789d4,0,0.0,0.19382236557104782
P1,mmas,C111,legacy,baseline,b0bf841909ebcaf44638c9ec8019ac27b02f99f0f75698e9b5094622b47789d4,1,0.0,0.18136052862306082
P1,mmas,C111,legacy,baseline,b0bf841909ebcaf44638c9ec8019ac27b02f99f0f75698e9b5094622b47789d4,2,0.0,0.20577890254162243
P1,mmas,C111,legacy,baseline,b0bf841909ebcaf44638c9ec8019ac27b02f99f0f75698e9b5094622b47789d4,3,0.0,0.2588398096503364
P1,mmas,C111,legacy,baseline,b0bf841909ebcaf44638c9ec8019ac27b02f99f0f75698e9b5094622b47789d4,4,0.0,0.2541193113094769
P1,mmas,C111,legacy,baseline,2a78504d8521fea3b334b8cc425229ab371ae4f1db5b5fa6c082d577136d7e54,0,0.0,0.17023083409892964
P1,mmas,C111,legacy,baseline,2a78504d8521fea3b334b8cc425229ab371ae4f1db5b5fa6c082d577136d7e54,1,0.32447281339147427,0.5023083222544112
P1,mmas,C111,legacy,baseline,2a78504d8521fea3b334b8cc425229ab371ae4f1db5b5fa6c082d577136d7e54,2,0.1786646628098021,0.39502451371063324
P1,mmas,C111,legacy,baseline,2a78504d8521fea3b334b8cc425229ab371ae4f1db5b5fa6c082d577136d7e54,3,0.06913802950923031,0.20337141294616026
