task,cohort,variant,condition,mode,instances,gpu_model,host,visible_gpu,wall_seconds_last_attempt,full_horizon_timing,diagnostic_bytes
numeric-pair-as-s4-b16--centered_fp64,N1,as,C111,centered_fp64,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-d06b09ac-edfa-36ed-68ed-4c6cc90409fd,1323.7353883991018,True,2801870925
numeric-pair-as-s4-b24--legacy,N1,as,C111,legacy,8,NVIDIA RTX 4000 Ada Generation,cuda-small1.ecs.vuw.ac.nz,GPU-8ce2c8bb-d2fd-214d-c9ce-b22a66f38bbb,1051.6657908307388,True,2797637084
numeric-pair-as-s4-b24--centered_fp32,N1,as,C111,centered_fp32,8,NVIDIA RTX 4000 Ada Generation,cuda-small1.ecs.vuw.ac.nz,GPU-8ce2c8bb-d2fd-214d-c9ce-b22a66f38bbb,1208.6032412275672,True,2799832133
numeric-pair-as-s4-b24--centered_fp64,N1,as,C111,centered_fp64,8,NVIDIA RTX 4000 Ada Generation,cuda-small1.ecs.vuw.ac.nz,GPU-8ce2c8bb-d2fd-214d-c9ce-b22a66f38bbb,1064.8017498096451,True,2803449633
numeric-pair-mmas-s0-b00--legacy,N1,mmas,C111,legacy,8,NVIDIA RTX A5000,cuda10.ecs.vuw.ac.nz,GPU-29d94703-008a-2265-d24c-10f593a247fe,271.57821993809193,True,338392546
numeric-pair-mmas-s0-b00--centered_fp32,N1,mmas,C111,centered_fp32,8,NVIDIA RTX A5000,cuda10.ecs.vuw.ac.nz,GPU-29d94703-008a-2265-d24c-10f593a247fe,280.8553027822636,True,339807672
numeric-pair-mmas-s0-b00--centered_fp64,N1,mmas,C111,centered_fp64,8,NVIDIA RTX A5000,cuda10.ecs.vuw.ac.nz,GPU-29d94703-008a-2265-d24c-10f593a247fe,301.7312163300812,True,339853241
numeric-pair-mmas-s0-b08--legacy,N1,mmas,C111,legacy,8,NVIDIA RTX A5000,cuda10.ecs.vuw.ac.nz,GPU-dc3f37e9-bc9b-dd69-60e8-a77365d836db,266.94593761023134,True,335084857
numeric-pair-mmas-s0-b08--centered_fp32,N1,mmas,C111,centered_fp32,8,NVIDIA RTX A5000,cuda10.ecs.vuw.ac.nz,GPU-dc3f37e9-bc9b-dd69-60e8-a77365d836db,274.10978936590254,True,336967013
numeric-pair-mmas-s0-b08--centered_fp64,N1,mmas,C111,centered_fp64,8,NVIDIA RTX A5000,cuda10.ecs.vuw.ac.nz,GPU-dc3f37e9-bc9b-dd69-60e8-a77365d836db,290.4309714557603,True,336565006
numeric-pair-mmas-s0-b16--legacy,N1,mmas,C111,legacy,8,NVIDIA RTX A5000,cuda11.ecs.vuw.ac.nz,GPU-c3d3524e-5391-eb14-74fe-17643672b259,274.0475445026532,True,335098105
numeric-pair-mmas-s0-b16--centered_fp32,N1,mmas,C111,centered_fp32,8,NVIDIA RTX A5000,cuda11.ecs.vuw.ac.nz,GPU-c3d3524e-5391-eb14-74fe-17643672b259,278.57558365818113,True,337468789
numeric-pair-mmas-s0-b16--centered_fp64,N1,mmas,C111,centered_fp64,8,NVIDIA RTX A5000,cuda11.ecs.vuw.ac.nz,GPU-c3d3524e-5391-eb14-74fe-17643672b259,291.3539402750321,True,337503057
